id,city_id,name,hex_color
54,78,Pervaya,CD0505
59,135,Kholodnohirsko-Zavodska,CD0505
61,135,Oleksiivska,0A6F20
60,135,"Saltivska Line",069CD3
5,1,"Kol'tsevaya",915133
2,1,Zamoskvoretskaya,4FB04F
7,1,Tagansko-Krasnopresnenskaya,943E90
6,1,Kaluzhsko-Rizhskaya,F07E24
3,1,Arbatsko-Pokrovskaya,0072BA
1,1,Sokolnicheskaya,E42313
98,1,Nekrasovskaya,CC0066
97,1,"Bolshaya Koltsevaya line",88CDCF
131,1,D1,F5A528
96,1,Monorail,006DA8
132,1,D2,E74683
4,1,Filyovskaya,1EBCEF
95,1,"Moscow Central Circle",CC4C6E
10,1,Lyublinsko-Dmitrovskaya,BED12C
11,1,Kakhovskaya,88CDCF
12,1,Butovskaya,BAC8E8
133,1,"Line 8A",FFCD1C
9,1,Serpukhovsko-Timiryazevskaya,ADACAC
8,1,Kalininskaya,FFCD1C
64,160,Pervaya,CD0505
58,117,Tsentralno-Zavodska,BD1018
49,88,Tsentralnaya,CD0505
52,4,Leninskaya,CD0505
53,4,Dzerzhinskaya,0A6F20
18,2,Frunzensko-Primorskaya,702785
15,2,Moskovsko-Petrogradskaya,0078C9
14,2,Kirovsko-Vyborgskaya,D6083B
17,2,Pravoberezhnaya,EA7125
16,2,Nevsko-Vasileostrovskaya,009A49
56,115,Kurenivsko-Chervonoarmiyska,069CD3
55,115,Sviatoshynsko-Brovarska,CD0505
57,115,Syretsko-Pecherska,0A6F20
62,1002,Moskovskaya,0521C3
63,1002,Avtozavodskaya,BF0808
134,1002,Zelenoluzhskaya,009A49
48,3,Sever-Yug,0A6F20
50,66,Avtozavodskaya,D80707
51,66,Sormovskaya,0071BC
