id,city_id,name,hex_color
54,78,"Первая",CD0505
59,135,"Холодногорско-Заводская",CD0505
61,135,"Алексеевская",0A6F20
60,135,"Салтовская линия",069CD3
5,1,"Кольцевая",915133
2,1,"Замоскворецкая",4FB04F
7,1,"Таганско-Краснопресненская",943E90
6,1,"Калужско-Рижская",F07E24
3,1,"Арбатско-Покровская",0072BA
1,1,"Сокольническая",E42313
98,1,"Некрасовская",CC0066
97,1,"Большая кольцевая линия",88CDCF
131,1,"МЦД - 1",F5A528
96,1,"Монорельс",006DA8
132,1,"МЦД - 2",E74683
4,1,"Филевская",1EBCEF
95,1,"МЦК",CC4C6E
10,1,"Люблинско-Дмитровская",BED12C
11,1,"Каховская",88CDCF
12,1,"Бутовская",BAC8E8
133,1,"Солнцевская",FFCD1C
9,1,"Серпуховско-Тимирязевская",ADACAC
8,1,"Калининская",FFCD1C
64,160,"Первая",CD0505
58,117,"Центрально-Заводская",BD1018
49,88,"Центральная",CD0505
52,4,"Ленинская",CD0505
53,4,"Дзержинская",0A6F20
18,2,"Фрунзенско-Приморская",702785
15,2,"Московско-Петроградская",0078C9
14,2,"Кировско-Выборгская",D6083B
17,2,"Правобережная",EA7125
16,2,"Невско-Василеостровская",009A49
56,115,"Куреневско-Красноармейская",069CD3
55,115,"Святошинско-Броварская",CD0505
57,115,"Сырецко-Печерская",0A6F20
62,1002,"Московская",0521C3
63,1002,"Автозаводская",BF0808
134,1002,"Зеленолужская",009A49
48,3,"Север-Юг",0A6F20
50,66,"Автозаводская",D80707
51,66,"Сормовская",0071BC
